Metric,YTD in 2025,Jan-2025,Feb-2025,Mar-2025,May-2025,Jun-2025,Jul-2025,Aug-2025,Sep-2025,Oct-2025
Period,2025-01-01 - 2025-10-14,,,,,,,,,
Trade_Days,73,4,6,8,11,9,5,12,11,7
Market_Open_Days,188,20,19,21,21,20,22,21,21,23
Expectancy (E),0.54%,-0.11%,0.37%,-4.59%,0.46%,0.78%,0.86%,1.08%,0.61%,0.44%
Win Rate (WR),69.92%,40.00%,64.71%,46.43%,71.11%,89.86%,60.00%,60.53%,87.10%,43.84%
Mean Profit Rate (G),0.94%,0.00%,0.57%,0.00%,0.65%,0.87%,1.43%,1.79%,0.70%,1.00%
Mean Loss Rate (L),0.40%,0.18%,0.00%,8.56%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Avg Gain per Trade (JPY),"28,980",0,"13,217",0,"15,363","24,602","88,932","70,717","22,703","33,642"
Avg Loss per Trade (JPY),"12,281","7,098",0,"119,757",0,0,0,0,0,0
Avg Capital Invested per trade (JPY),"3,090,263","4,055,067","2,323,263","1,398,996","2,378,541","2,822,688","6,211,453","3,948,298","3,256,130","3,379,278"
Risk/Reward Ratio (RRR),2.36,0.00,—,0.00,—,—,—,—,—,—
ROI,0.54%,-0.11%,0.37%,-4.59%,0.46%,0.78%,0.86%,1.08%,0.61%,0.44%
Total Trades,492,5,17,28,90,69,10,76,124,73
Total Win Trades,344,2,11,13,64,62,6,46,108,32
Total Net P/L (JPY),"8,151,341","-21,294","145,387","-1,796,356","983,234","1,525,344","533,590","3,252,990","2,451,899","1,076,548"
Total Gain (JPY),"9,968,991",0,"145,387",0,"983,234","1,525,344","533,590","3,252,990","2,451,899","1,076,548"
Total Loss (JPY),"1,817,650","21,294",0,"1,796,356",0,0,0,0,0,0
Total Investment (JPY),"1,520,409,449","20,275,334","39,495,468","39,171,888","214,068,673","194,765,463","62,114,528","300,070,684","403,760,126","246,687,285"
Reference,E = WR × Mean Profit Rate − (1 − WR) × Mean Loss Rate,,,,,,,,,
