date,raw_count,symbol,share,z_score,close,volume,return_20d,bottom_candidate
2026-02-06,14,IONQ,0.0479,0.112,34.9900016784668,32508100.0,-0.3112,False
2026-02-07,0,IONQ,0.0,-0.756,34.9900016784668,32508100.0,-0.3112,False
2026-02-08,30,IONQ,0.3659,0.997,34.9900016784668,32508100.0,-0.3112,False
2026-02-09,0,IONQ,0.0,-0.814,35.47999954223633,16620800.0,-0.2996,False
2026-02-10,3,IONQ,0.0435,-0.637,35.189998626708984,13807900.0,-0.2719,False
2026-02-11,3,IONQ,0.0064,-0.651,33.61000061035156,16057000.0,-0.3187,False
2026-02-12,16,IONQ,0.0277,0.097,31.299999237060547,18115200.0,-0.3376,False
2026-02-13,3,IONQ,0.0102,-0.684,34.11000061035156,21567100.0,-0.2781,False
2026-02-14,24,IONQ,0.1387,0.543,34.11000061035156,21567100.0,-0.2781,False
2026-02-15,0,IONQ,0.0,-0.872,34.11000061035156,21567100.0,-0.2135,False
2026-02-16,5,IONQ,0.0385,-0.498,34.11000061035156,21567100.0,-0.2502,False
2026-02-17,0,IONQ,0.0,-0.931,33.18000030517578,13735200.0,-0.2755,False
2026-02-18,0,IONQ,0.0,-0.853,33.34000015258789,13374800.0,-0.229,False
2026-02-19,0,IONQ,0.0,-0.776,33.43000030517578,13722100.0,-0.1638,False
2026-02-20,0,IONQ,0.0,-0.744,31.899999618530273,15727200.0,-0.2021,False
2026-02-21,0,IONQ,0.0,-0.744,31.899999618530273,15727200.0,-0.2021,False
