Metric,YTD in 2025,Jan-2025,Feb-2025,Mar-2025,May-2025,Jun-2025,Jul-2025,Aug-2025,Sep-2025,Oct-2025,Nov-2025
ASSUMPTIONS,,,,,,,,,,,
Trading Days,86,4,6,8,11,9,5,12,11,12,8
Market Open Days,207,20,19,21,21,20,22,21,21,23,19
Average Exchange Rate (JPY/USD),148.3,156.5,151.6,149.1,144.9,144.5,—,147.5,147.9,151.4,—
LAGGING INDICATORS,,,,,,,,,,,
Expectancy (E),0.78%,0.07%,-0.14%,-5.48%,0.84%,0.75%,0.86%,1.08%,0.78%,1.00%,—
Win Rate (WR),78.18%,60.00%,70.59%,50.00%,73.33%,89.86%,60.00%,60.53%,89.52%,68.85%,100.00%
Loss Rate (LR),21.82%,40.00%,29.41%,50.00%,26.67%,10.14%,40.00%,39.47%,10.48%,31.15%,0.00%
Mean Profit Rate (G),1.43%,2.19%,2.42%,2.62%,1.70%,0.85%,1.77%,2.40%,0.95%,1.67%,1.13%
Mean Loss Rate (L),1.54%,3.11%,6.30%,13.57%,1.51%,0.19%,0.51%,0.94%,0.64%,0.50%,—
Mean Gain per Trade (JPY),"46,341","88,484","56,593","36,975","40,264","25,219","110,231","94,872","30,786","69,604","31,962"
Mean Loss per Trade (JPY),"50,081","125,969","147,092","191,671","35,719","5,466","31,950","37,037","20,669","20,716",—
Mean Capital Invested per trade (JPY) / Mean Position Size,"3,242,654","4,048,105","2,335,129","1,412,188","2,369,463","2,950,314","6,211,452","3,948,298","3,250,511","4,165,727","2,834,677"
Risk/Reward Ratio (RRR),0.93,0.70,0.38,0.19,1.13,4.61,3.45,2.56,1.49,3.36,—
ROI,0.78%,0.07%,-0.14%,-5.48%,0.84%,0.75%,0.86%,1.08%,0.78%,1.00%,1.13%
INTERIM INDICATORS,,,,,,,,,,,
Total Trades,628,5,17,28,90,69,10,76,124,122,87
Total Win Trades,491,3,12,14,66,62,6,46,111,84,87
Total Loss Trades,137,2,5,14,24,7,4,30,13,38,0
SUMMARY,,,,,,,,,,,
Total Net P/L (JPY),"15,892,296","13,514","-56,346","-2,165,743","1,800,147","1,525,344","533,590","3,252,990","3,148,583","5,059,543","2,780,676"
Total Gain (JPY),"22,753,442","265,453","679,114","517,646","2,657,404","1,563,607","661,388","4,364,103","3,417,285","5,846,768","2,780,676"
Total Loss (JPY),"6,861,145","251,939","735,460","2,683,389","857,257","38,263","127,798","1,111,113","268,702","787,225",0
Total Investment (JPY),"2,036,386,816","20,240,526","39,697,201","39,541,275","213,251,760","203,571,733","62,114,528","300,070,684","403,063,442","508,218,751","246,616,917"
TAX CALCULATION,,,,,,,,,,,
Income Tax (所得税),"2,383,844","2,027",0,0,"270,022","228,802","80,038","487,948","472,287","758,931","417,101"
Resident Tax (住民税),"794,615",676,0,0,"90,007","76,267","26,680","162,649","157,429","252,977","139,034"
Special Reconstruction Tax (復興特別所得税),"50,061",43,0,0,"5,670","4,805","1,681","10,247","9,918","15,938","8,759"
Total Tax (税額),"3,228,520","2,745",0,0,"365,700","309,874","108,399","660,845","639,635","1,027,846","564,894"
Profit After Tax (PAT),"12,663,776","10,768","-56,346","-2,165,743","1,434,447","1,215,470","425,191","2,592,145","2,508,948","4,031,697","2,215,782"
ROI After Tax,0.62%,0.05%,-0.14%,-5.48%,0.67%,0.60%,0.68%,0.86%,0.62%,0.79%,0.90%
